Program Year,Program,SFA ID,SFA Name,Claim Date,Meal Type,Number of Sites/Centers/Providers,Total Enrolled,Number of Operating/Serving Days,Free Meals Served,Reduced Price Meals Served,Paid Meals Served,Total Meals Served,Non-Program Adult Meals,Average Daily Attendance (ADA)
2019 - 2020,School Nutrition Programs,52,Lee County Public Schools,02/01/2020,3. Lunch,10,"2,950",14,"25,991",0,"1,533","27,524",,"2,708"
2019 - 2020,School Nutrition Programs,52,Lee County Public Schools,03/01/2020,1. Breakfast,10,"2,949",10,"11,282",0,668,"11,950",,"2,718"
2019 - 2020,School Nutrition Programs,52,Lee County Public Schools,03/01/2020,3. Lunch,10,"2,949",10,"18,835",0,"1,114","19,949",,"2,718"
2019 - 2020,School Nutrition Programs,"5,235",St. Andrews School,09/01/2019,1. Breakfast,1,92,20,773,0,0,773,,88
2019 - 2020,School Nutrition Programs,"5,235",St. Andrews School,09/01/2019,3. Lunch,1,92,20,"1,296",0,0,"1,296",,88
2019 - 2020,School Nutrition Programs,"5,235",St. Andrews School,09/01/2019,4. PM Snack,1,92,20,"1,681",0,0,"1,681",,88
2019 - 2020,School Nutrition Programs,"5,235",St. Andrews School,10/01/2019,1. Breakfast,1,92,20,788,0,0,788,,80
2019 - 2020,School Nutrition Programs,"5,235",St. Andrews School,10/01/2019,3. Lunch,1,92,20,"1,322",0,0,"1,322",,80
2019 - 2020,School Nutrition Programs,"5,235",St. Andrews School,10/01/2019,4. PM Snack,1,92,20,"1,515",0,0,"1,515",,80
2019 - 2020,School Nutrition Programs,"5,235",St. Andrews School,11/01/2019,1. Breakfast,1,90,16,612,0,0,612,,83
2019 - 2020,School Nutrition Programs,"5,235",St. Andrews School,11/01/2019,3. Lunch,1,90,16,"1,055",0,0,"1,055",,83
2019 - 2020,School Nutrition Programs,"5,235",St. Andrews School,11/01/2019,4. PM Snack,1,90,16,"1,270",0,0,"1,270",,83
2019 - 2020,School Nutrition Programs,"5,235",St. Andrews School,12/01/2019,1. Breakfast,1,90,13,454,0,0,454,,81
2019 - 2020,School Nutrition Programs,"5,235",St. Andrews School,12/01/2019,3. Lunch,1,90,13,725,0,0,725,,81
2019 - 2020,School Nutrition Programs,"5,235",St. Andrews School,12/01/2019,4. PM Snack,1,90,13,899,0,0,899,,81
2019 - 2020,School Nutrition Programs,"5,235",St. Andrews School,01/01/2020,1. Breakfast,1,89,18,606,0,0,606,,84
2019 - 2020,School Nutrition Programs,"5,235",St. Andrews School,01/01/2020,3. Lunch,1,89,18,"1,134",0,0,"1,134",,84
2019 - 2020,School Nutrition Programs,"5,235",St. Andrews School,01/01/2020,4. PM Snack,1,89,18,"1,505",0,0,"1,505",,84
2019 - 2020,School Nutrition Programs,"5,235",St. Andrews School,02/01/2020,1. Breakfast,1,89,18,668,0,0,668,,83
2019 - 2020,School Nutrition Programs,"5,235",St. Andrews School,02/01/2020,3. Lunch,1,89,18,"1,180",0,0,"1,180",,83
2019 - 2020,School Nutrition Programs,"5,235",St. Andrews School,02/01/2020,4. PM Snack,1,83,18,"1,488",0,0,"1,488",,83
2019 - 2020,School Nutrition Programs,"5,235",St. Andrews School,03/01/2020,1. Breakfast,1,90,9,331,0,0,331,,86
2019 - 2020,School Nutrition Programs,"5,235",St. Andrews School,03/01/2020,3. Lunch,1,90,9,582,0,0,582,,86
2019 - 2020,School Nutrition Programs,"5,235",St. Andrews School,03/01/2020,4. PM Snack,1,90,9,765,0,0,765,,86
2019 - 2020,School Nutrition Programs,"5,284",Our Savior Lutheran School,09/01/2019,7. Milk,1,0,20,0,0,"1,358","1,358",,113
2019 - 2020,School Nutrition Programs,"5,284",Our Savior Lutheran School,10/01/2019,7. Milk,1,0,21,0,0,"1,449","1,449",,112
2019 - 2020,School Nutrition Programs,"5,284",Our Savior Lutheran School,11/01/2019,7. Milk,1,0,16,0,0,"1,058","1,058",,112
2019 - 2020,School Nutrition Programs,"5,284",Our Savior Lutheran School,12/01/2019,7. Milk,1,0,15,0,0,973,973,,116
2019 - 2020,School Nutrition Programs,"5,284",Our Savior Lutheran School,01/01/2020,7. Milk,1,0,19,0,0,"1,172","1,172",,111
2019 - 2020,School Nutrition Programs,"5,284",Our Savior Lutheran School,02/01/2020,7. Milk,1,0,19,0,0,"1,253","1,253",,108
2019 - 2020,School Nutrition Programs,"5,284",Our Savior Lutheran School,03/01/2020,7. Milk,1,0,9,0,0,613,613,,111
2019 - 2020,School Nutrition Programs,53,Loudoun County Public Schools,09/01/2019,1. Breakfast,33,"28,082",20,"60,799","11,632","19,986","92,417",,"26,946"
2019 - 2020,School Nutrition Programs,53,Loudoun County Public Schools,09/01/2019,1. Breakfast,59,"56,856",20,"18,267","5,807","15,588","39,662",,"51,274"
2019 - 2020,School Nutrition Programs,53,Loudoun County Public Schools,09/01/2019,3. Lunch,92,"84,938",20,"188,849","46,758","336,689","572,296",,"78,220"
2019 - 2020,School Nutrition Programs,53,Loudoun County Public Schools,10/01/2019,1. Breakfast,33,"28,220",21,"69,523","13,104","25,681","108,308",,"26,910"
2019 - 2020,School Nutrition Programs,53,Loudoun County Public Schools,10/01/2019,1. Breakfast,59,"56,973",21,"21,865","6,689","21,222","49,776",,"50,279"
2019 - 2020,School Nutrition Programs,53,Loudoun County Public Schools,10/01/2019,3. Lunch,92,"85,193",21,"197,937","49,167","405,933","653,037",,"77,189"
2019 - 2020,School Nutrition Programs,53,Loudoun County Public Schools,11/01/2019,1. Breakfast,33,"28,078",16,"54,088","10,480","18,277","82,845",,"26,559"
2019 - 2020,School Nutrition Programs,53,Loudoun County Public Schools,11/01/2019,1. Breakfast,59,"57,148",16,"17,349","5,344","16,262","38,955",,"54,127"
2019 - 2020,School Nutrition Programs,53,Loudoun County Public Schools,11/01/2019,3. Lunch,92,"85,226",16,"153,787","38,426","314,304","506,517",,"80,686"
2019 - 2020,School Nutrition Programs,53,Loudoun County Public Schools,12/01/2019,1. Breakfast,33,"28,035",13,"42,027","8,286","13,405","63,718",,"26,396"
2019 - 2020,School Nutrition Programs,53,Loudoun County Public Schools,12/01/2019,1. Breakfast,59,"57,143",13,"13,736","4,399","13,200","31,335",,"53,577"
2019 - 2020,School Nutrition Programs,53,Loudoun County Public Schools,12/01/2019,3. Lunch,92,"85,178",13,"124,413","31,217","253,497","409,127",,"79,973"
2019 - 2020,School Nutrition Programs,53,Loudoun County Public Schools,01/01/2020,1. Breakfast,33,"28,065",16,"51,339","10,169","16,539","78,047",,"26,450"
2019 - 2020,School Nutrition Programs,53,Loudoun County Public Schools,01/01/2020,1. Breakfast,59,"62,856",16,"16,927","5,370","16,115","38,412",,"54,280"
2019 - 2020,School Nutrition Programs,53,Loudoun County Public Schools,01/01/2020,3. Lunch,92,"90,921",16,"154,218","38,597","308,038","500,853",,"80,730"
2019 - 2020,School Nutrition Programs,53,Loudoun County Public Schools,02/01/2020,1. Breakfast,33,"28,144",19,"64,238","12,626","20,555","97,419",,"26,355"
2019 - 2020,School Nutrition Programs,53,Loudoun County Public Schools,02/01/2020,1. Breakfast,59,"63,191",19,"21,323","6,957","20,505","48,785",,"51,639"
2019 - 2020,School Nutrition Programs,53,Loudoun County Public Schools,02/01/2020,3. Lunch,92,"91,335",19,"185,570","46,166","365,690","597,426",,"77,994"
2019 - 2020,School Nutrition Programs,53,Loudoun County Public Schools,03/01/2020,1. Breakfast,33,"28,078",7,"24,284","4,173","7,508","35,965",,"26,276"
2019 - 2020,School Nutrition Programs,53,Loudoun County Public Schools,03/01/2020,1. Breakfast,59,"66,272",7,"8,389","2,227","8,218","18,834",,"54,235"
2019 - 2020,School Nutrition Programs,53,Loudoun County Public Schools,03/01/2020,3. Lunch,92,"94,350",7,"70,267","15,255","129,714","215,236",,"80,511"
2019 - 2020,School Nutrition Programs,"5,393",Phillips School - Annandale,09/01/2019,1. Breakfast,1,189,19,953,174,"1,393","2,520",,166
2019 - 2020,School Nutrition Programs,"5,393",Phillips School - Annandale,09/01/2019,3. Lunch,1,189,19,"1,072",129,392,"1,593",,166
2019 - 2020,School Nutrition Programs,"5,393",Phillips School - Annandale,10/01/2019,1. Breakfast,1,189,21,"1,033",154,"1,548","2,735",,161
2019 - 2020,School Nutrition Programs,"5,393",Phillips School - Annandale,10/01/2019,3. Lunch,1,189,21,"1,123",126,384,"1,633",,161
2019 - 2020,School Nutrition Programs,"5,393",Phillips School - Annandale,11/01/2019,1. Breakfast,1,185,17,818,99,"1,296","2,213",,154
2019 - 2020,School Nutrition Programs,"5,393",Phillips School - Annandale,11/01/2019,3. Lunch,1,185,17,887,76,304,"1,267",,154
2019 - 2020,School Nutrition Programs,"5,393",Phillips School - Annandale,12/01/2019,1. Breakfast,1,185,15,697,93,"1,101","1,891",,151
2019 - 2020,School Nutrition Programs,"5,393",Phillips School - Annandale,12/01/2019,3. Lunch,1,185,15,845,69,267,"1,181",,151
2019 - 2020,School Nutrition Programs,"5,393",Phillips School - Annandale,01/01/2020,1. Breakfast,1,191,18,868,106,"1,294","2,268",,156
2019 - 2020,School Nutrition Programs,"5,393",Phillips School - Annandale,01/01/2020,3. Lunch,1,191,18,"1,021",93,339,"1,453",,156
2019 - 2020,School Nutrition Programs,"5,393",Phillips School - Annandale,02/01/2020,1. Breakfast,1,185,18,872,118,"1,292","2,282",,157
2019 - 2020,School Nutrition Programs,"5,393",Phillips School - Annandale,02/01/2020,3. Lunch,1,185,18,954,93,318,"1,365",,157
2019 - 2020,School Nutrition Programs,"5,393",Phillips School - Annandale,03/01/2020,1. Breakfast,1,186,21,420,63,658,"1,141",,166
2019 - 2020,School Nutrition Programs,"5,393",Phillips School - Annandale,03/01/2020,3. Lunch,1,186,21,463,52,166,681,,162
2019 - 2020,School Nutrition Programs,54,Louisa County Public Schools,09/01/2019,1. Breakfast,6,"4,944",19,"15,503","2,429","6,254","24,186",,"4,723"
2019 - 2020,School Nutrition Programs,54,Louisa County Public Schools,09/01/2019,3. Lunch,6,"4,944",19,"25,988","4,681","16,722","47,391",,"4,723"
2019 - 2020,School Nutrition Programs,54,Louisa County Public Schools,10/01/2019,1. Breakfast,6,"4,933",22,"17,702","2,792","8,222","28,716",,"4,690"
2019 - 2020,School Nutrition Programs,54,Louisa County Public Schools,10/01/2019,3. Lunch,6,"4,933",22,"29,826","5,173","21,186","56,185",,"4,690"
2019 - 2020,School Nutrition Programs,54,Louisa County Public Schools,11/01/2019,1. Breakfast,6,"4,943",16,"13,003","2,048","5,806","20,857",,"4,676"
2019 - 2020,School Nutrition Programs,54,Louisa County Public Schools,11/01/2019,3. Lunch,6,"4,943",16,"21,701","3,816","15,791","41,308",,"4,676"
2019 - 2020,School Nutrition Programs,54,Louisa County Public Schools,12/01/2019,1. Breakfast,6,"4,940",15,"10,546","1,723","4,695","16,964",,"4,614"
2019 - 2020,School Nutrition Programs,54,Louisa County Public Schools,12/01/2019,3. Lunch,6,"4,940",15,"19,742","3,484","14,643","37,869",,"4,614"
2019 - 2020,School Nutrition Programs,54,Louisa County Public Schools,01/01/2020,1. Breakfast,6,"4,943",18,"13,624","2,012","5,305","20,941",,"4,616"
2019 - 2020,School Nutrition Programs,54,Louisa County Public Schools,01/01/2020,3. Lunch,6,"4,943",17,"22,737","3,554","15,169","41,460",,"4,616"
2019 - 2020,School Nutrition Programs,54,Louisa County Public Schools,02/01/2020,1. Breakfast,6,"4,943",18,"15,310","1,923","5,364","22,597",,"4,625"
2019 - 2020,School Nutrition Programs,54,Louisa County Public Schools,02/01/2020,3. Lunch,6,"4,943",18,"25,815","3,503","15,770","45,088",,"4,625"
2019 - 2020,School Nutrition Programs,54,Louisa County Public Schools,03/01/2020,1. Breakfast,6,"4,952",9,"7,411",974,"2,768","11,153",,"4,657"
2019 - 2020,School Nutrition Programs,54,Louisa County Public Schools,03/01/2020,3. Lunch,6,"4,952",9,"12,657","1,729","8,045","22,431",,"4,657"
2019 - 2020,School Nutrition Programs,55,Lunenburg County Public Schools,09/01/2019,1. Breakfast,4,"1,601",20,"11,624",83,"1,481","13,188",,"1,530"
2019 - 2020,School Nutrition Programs,55,Lunenburg County Public Schools,09/01/2019,3. Lunch,4,"1,601",20,"18,577",319,"3,421","22,317",,"1,530"
2019 - 2020,School Nutrition Programs,55,Lunenburg County Public Schools,10/01/2019,1. Breakfast,4,"1,609",23,"12,940",128,"1,692","14,760",,"1,537"
2019 - 2020,School Nutrition Programs,55,Lunenburg County Public Schools,10/01/2019,3. Lunch,4,"1,609",23,"21,254",342,"4,169","25,765",,"1,537"
2019 - 2020,School Nutrition Programs,55,Lunenburg County Public Schools,11/01/2019,1. Breakfast,4,"1,611",16,"9,003",110,"1,156","10,269",,"1,522"
2019 - 2020,School Nutrition Programs,55,Lunenburg County Public Schools,11/01/2019,3. Lunch,4,"1,611",17,"15,811",291,"2,991","19,093",,"1,522"
2019 - 2020,School Nutrition Programs,55,Lunenburg County Public Schools,12/01/2019,1. Breakfast,4,"1,610",13,"6,829",83,894,"7,806",,"1,541"
2019 - 2020,School Nutrition Programs,55,Lunenburg County Public Schools,12/01/2019,3. Lunch,4,"1,610",13,"12,058",199,"2,330","14,587",,"1,541"
2019 - 2020,School Nutrition Programs,55,Lunenburg County Public Schools,01/01/2020,1. Breakfast,4,"1,628",21,"10,952",121,"1,433","12,506",,"1,481"
2019 - 2020,School Nutrition Programs,55,Lunenburg County Public Schools,01/01/2020,3. Lunch,4,"1,628",21,"18,968",361,"3,656","22,985",,"1,481"
2019 - 2020,School Nutrition Programs,55,Lunenburg County Public Schools,02/01/2020,1. Breakfast,4,"1,631",17,"8,710",103,"1,213","10,026",,"1,514"
2019 - 2020,School Nutrition Programs,55,Lunenburg County Public Schools,02/01/2020,3. Lunch,4,"1,631",17,"15,471",286,"3,016","18,773",,"1,514"
2019 - 2020,School Nutrition Programs,55,Lunenburg County Public Schools,03/01/2020,1. Breakfast,4,"1,629",9,"4,682",38,635,"5,355",,"1,540"
2019 - 2020,School Nutrition Programs,55,Lunenburg County Public Schools,03/01/2020,3. Lunch,4,"1,629",9,"8,495",173,"1,596","10,264",,"1,540"
2019 - 2020,School Nutrition Programs,56,Madison County Public Schools,09/01/2019,1. Breakfast,4,"1,653",18,"4,068","1,125","2,417","7,610",,"1,586"
2019 - 2020,School Nutrition Programs,56,Madison County Public Schools,09/01/2019,3. Lunch,4,"1,653",18,"7,773","2,303","7,315","17,391",,"1,586"
2019 - 2020,School Nutrition Programs,56,Madison County Public Schools,10/01/2019,1. Breakfast,4,"1,673",23,"5,239","1,578","3,235","10,052",,"1,611"
2019 - 2020,School Nutrition Programs,56,Madison County Public Schools,10/01/2019,3. Lunch,4,"1,673",23,"9,726","2,999","10,318","23,043",,"1,611"
2019 - 2020,School Nutrition Programs,56,Madison County Public Schools,11/01/2019,1. Breakfast,4,"1,671",18,"4,371","1,315","2,550","8,236",,"1,586"
2019 - 2020,School Nutrition Programs,56,Madison County Public Schools,11/01/2019,3. Lunch,4,"1,671",18,"7,863","2,420","8,235","18,518",,"1,586"
2019 - 2020,School Nutrition Programs,56,Madison County Public Schools,12/01/2019,1. Breakfast,4,"1,672",14,"3,364",932,"1,680","5,976",,"1,589"
2019 - 2020,School Nutrition Programs,56,Madison County Public Schools,12/01/2019,3. Lunch,4,"1,672",14,"6,443","1,830","6,282","14,555",,"1,589"
2019 - 2020,School Nutrition Programs,56,Madison County Public Schools,01/01/2020,1. Breakfast,4,"1,673",17,"3,673","1,044","1,804","6,521",,"1,584"
2019 - 2020,School Nutrition Programs,56,Madison County Public Schools,01/01/2020,3. Lunch,4,"1,673",17,"7,399","2,175","7,184","16,758",,"1,584"
2019 - 2020,School Nutrition Programs,56,Madison County Public Schools,02/01/2020,1. Breakfast,4,"1,679",19,"4,692","1,203","2,218","8,113",,"1,583"
2019 - 2020,School Nutrition Programs,56,Madison County Public Schools,02/01/2020,3. Lunch,4,"1,679",19,"8,721","2,306","7,889","18,916",,"1,583"
2019 - 2020,School Nutrition Programs,56,Madison County Public Schools,03/01/2020,1. Breakfast,4,"1,683",9,"2,263",559,"1,172","3,994",,"1,582"
2019 - 2020,School Nutrition Programs,56,Madison County Public Schools,03/01/2020,3. Lunch,4,"1,683",9,"4,194","1,046","3,708","8,948",,"1,582"
2019 - 2020,School Nutrition Programs,"5,616",St. John Academy,09/01/2019,7. Milk,1,0,20,0,0,"1,260","1,260",,178
2019 - 2020,School Nutrition Programs,"5,616",St. John Academy,10/01/2019,7. Milk,1,0,21,0,0,"1,363","1,363",,176
2019 - 2020,School Nutrition Programs,"5,616",St. John Academy,11/01/2019,7. Milk,1,0,20,0,0,"1,265","1,265",,178
2019 - 2020,School Nutrition Programs,"5,616",St. John Academy,12/01/2019,7. Milk,1,0,20,0,0,975,975,,175
2019 - 2020,School Nutrition Programs,57,Mathews County Public Schools,09/01/2019,1. Breakfast,3,"1,014",19,"3,385",481,839,"4,705",,976
2019 - 2020,School Nutrition Programs,57,Mathews County Public Schools,09/01/2019,3. Lunch,3,"1,014",19,"6,076","1,034","4,492","11,602",,976
2019 - 2020,School Nutrition Programs,57,Mathews County Public Schools,10/01/2019,1. Breakfast,3,996,23,"4,327",677,"1,480","6,484",,956
2019 - 2020,School Nutrition Programs,57,Mathews County Public Schools,10/01/2019,3. Lunch,3,996,23,"7,093","1,351","6,478","14,922",,956
2019 - 2020,School Nutrition Programs,57,Mathews County Public Schools,11/01/2019,1. Breakfast,3,"1,016",17,"3,367",507,"1,054","4,928",,937
2019 - 2020,School Nutrition Programs,57,Mathews County Public Schools,11/01/2019,3. Lunch,3,"1,016",17,"5,138","1,039","4,714","10,891",,937
2019 - 2020,School Nutrition Programs,57,Mathews County Public Schools,12/01/2019,1. Breakfast,3,986,15,"2,711",427,895,"4,033",,925
2019 - 2020,School Nutrition Programs,57,Mathews County Public Schools,12/01/2019,3. Lunch,3,985,15,"4,323",905,"4,020","9,248",,925
2019 - 2020,School Nutrition Programs,57,Mathews County Public Schools,01/01/2020,1. Breakfast,3,"1,005",21,"3,744",610,"1,279","5,633",,944
2019 - 2020,School Nutrition Programs,57,Mathews County Public Schools,01/01/2020,3. Lunch,3,"1,005",21,"6,095","1,242","5,338","12,675",,944
2019 - 2020,School Nutrition Programs,57,Mathews County Public Schools,02/01/2020,1. Breakfast,3,984,18,"3,415",495,"1,055","4,965",,914
2019 - 2020,School Nutrition Programs,57,Mathews County Public Schools,02/01/2020,3. Lunch,3,984,18,"5,597","1,047","4,754","11,398",,914
2019 - 2020,School Nutrition Programs,57,Mathews County Public Schools,03/01/2020,1. Breakfast,3,"1,002",9,"1,809",249,665,"2,723",,932
2019 - 2020,School Nutrition Programs,57,Mathews County Public Schools,03/01/2020,3. Lunch,3,"1,002",9,"2,876",447,"2,203","5,526",,932
2019 - 2020,School Nutrition Programs,"5,759",Holy Spirit School,09/01/2019,7. Milk,1,0,23,0,0,"3,112","3,112",,401
2019 - 2020,School Nutrition Programs,"5,759",Holy Spirit School,10/01/2019,7. Milk,1,0,21,0,0,"3,015","3,015",,400
2019 - 2020,School Nutrition Programs,"5,759",Holy Spirit School,11/01/2019,7. Milk,1,0,17,0,0,"2,398","2,398",,400
2019 - 2020,School Nutrition Programs,"5,759",Holy Spirit School,12/01/2019,7. Milk,1,0,14,0,0,"2,125","2,125",,378
2019 - 2020,School Nutrition Programs,"5,759",Holy Spirit School,01/01/2020,7. Milk,1,0,19,0,0,"2,353","2,353",,392
2019 - 2020,School Nutrition Programs,"5,759",Holy Spirit School,02/01/2020,7. Milk,1,0,19,0,0,"2,628","2,628",,392
2019 - 2020,School Nutrition Programs,"5,759",Holy Spirit School,03/01/2020,7. Milk,1,0,9,0,0,"1,319","1,319",,395
2019 - 2020,School Nutrition Programs,"5,760",Saint Anthony of Padua,09/01/2019,7. Milk,1,0,23,0,0,"1,250","1,250",,55
2019 - 2020,School Nutrition Programs,"5,760",Saint Anthony of Padua,10/01/2019,7. Milk,1,0,22,0,0,"1,650","1,650",,75
2019 - 2020,School Nutrition Programs,"5,760",Saint Anthony of Padua,11/01/2019,7. Milk,1,0,18,0,0,950,950,,52
2019 - 2020,School Nutrition Programs,"5,760",Saint Anthony of Padua,12/01/2019,7. Milk,1,0,15,0,0,700,700,,195
2019 - 2020,School Nutrition Programs,"5,760",Saint Anthony of Padua,01/01/2020,7. Milk,1,0,19,0,0,"2,050","2,050",,210
2019 - 2020,School Nutrition Programs,"5,760",Saint Anthony of Padua,02/01/2020,7. Milk,1,0,19,0,0,"1,700","1,700",,210
2019 - 2020,School Nutrition Programs,"5,761",All Saints Elementary School,09/01/2019,7. Milk,1,0,19,0,0,"1,804","1,804",,454
2019 - 2020,School Nutrition Programs,"5,761",All Saints Elementary School,10/01/2019,7. Milk,1,0,21,0,0,"2,154","2,154",,452
2019 - 2020,School Nutrition Programs,"5,761",All Saints Elementary School,11/01/2019,7. Milk,1,0,14,0,0,"1,379","1,379",,448
2019 - 2020,School Nutrition Programs,"5,761",All Saints Elementary School,12/01/2019,7. Milk,1,0,14,0,0,"1,472","1,472",,443
2019 - 2020,School Nutrition Programs,"5,761",All Saints Elementary School,01/01/2020,7. Milk,1,0,17,0,0,"1,825","1,825",,448
2019 - 2020,School Nutrition Programs,"5,761",All Saints Elementary School,02/01/2020,7. Milk,1,0,19,0,0,"1,936","1,936",,444
2019 - 2020,School Nutrition Programs,"5,761",All Saints Elementary School,03/01/2020,7. Milk,1,0,8,0,0,787,787,,444
2019 - 2020,School Nutrition Programs,"5,762",Our Lady of Good Counsel School,09/01/2019,7. Milk,1,0,20,0,0,"3,094","3,094",,461
2019 - 2020,School Nutrition Programs,"5,762",Our Lady of Good Counsel School,10/01/2019,7. Milk,1,0,22,0,0,"4,304","4,304",,455
2019 - 2020,School Nutrition Programs,"5,762",Our Lady of Good Counsel School,11/01/2019,7. Milk,1,0,17,0,0,"3,026","3,026",,434
2019 - 2020,School Nutrition Programs,"5,762",Our Lady of Good Counsel School,12/01/2019,7. Milk,1,0,15,0,0,"1,826","1,826",,442
2019 - 2020,School Nutrition Programs,"5,762",Our Lady of Good Counsel School,01/01/2020,7. Milk,1,0,19,0,0,"3,754","3,754",,434
2019 - 2020,School Nutrition Programs,"5,762",Our Lady of Good Counsel School,02/01/2020,7. Milk,1,0,19,0,0,"3,238","3,238",,428
2019 - 2020,School Nutrition Programs,"5,762",Our Lady of Good Counsel School,03/01/2020,7. Milk,1,0,8,0,0,"1,594","1,594",,432
2019 - 2020,School Nutrition Programs,"5,763",St. Agnes School,09/01/2019,7. Milk,1,0,20,0,0,"4,175","4,175",,437
2019 - 2020,School Nutrition Programs,"5,763",St. Agnes School,10/01/2019,7. Milk,1,0,20,0,0,"3,813","3,813",,430
2019 - 2020,School Nutrition Programs,"5,763",St. Agnes School,11/01/2019,7. Milk,1,0,15,0,0,"2,985","2,985",,437
2019 - 2020,School Nutrition Programs,"5,763",St. Agnes School,12/01/2019,7. Milk,1,0,14,0,0,"2,503","2,503",,437
2019 - 2020,School Nutrition Programs,"5,763",St. Agnes School,01/01/2020,7. Milk,1,0,19,0,0,"3,306","3,306",,428
2019 - 2020,School Nutrition Programs,"5,763",St. Agnes School,02/01/2020,7. Milk,1,0,19,0,0,"2,877","2,877",,431
2019 - 2020,School Nutrition Programs,"5,763",St. Agnes School,03/01/2020,7. Milk,1,0,10,0,0,"1,295","1,295",,434
2019 - 2020,School Nutrition Programs,"5,764",St. Mary School,09/01/2019,7. Milk,1,0,19,0,0,"6,530","6,530",,492
2019 - 2020,School Nutrition Programs,"5,764",St. Mary School,10/01/2019,7. Milk,1,0,20,0,0,"6,561","6,561",,690
2019 - 2020,School Nutrition Programs,"5,764",St. Mary School,11/01/2019,7. Milk,1,0,16,0,0,"5,811","5,811",,679
2019 - 2020,School Nutrition Programs,"5,764",St. Mary School,12/01/2019,7. Milk,1,0,13,0,0,"4,440","4,440",,680
2019 - 2020,School Nutrition Programs,"5,764",St. Mary School,01/01/2020,7. Milk,1,0,18,0,0,"6,595","6,595",,705
2019 - 2020,School Nutrition Programs,"5,764",St. Mary School,02/01/2020,7. Milk,1,0,18,0,0,"6,014","6,014",,671
2019 - 2020,School Nutrition Programs,"5,765",St. Leo the Great Catholic School,09/01/2019,7. Milk,1,0,19,0,0,"1,899","1,899",,312
2019 - 2020,School Nutrition Programs,"5,765",St. Leo the Great Catholic School,10/01/2019,7. Milk,1,0,21,0,0,"2,218","2,218",,341
2019 - 2020,School Nutrition Programs,"5,765",St. Leo the Great Catholic School,11/01/2019,7. Milk,1,0,17,0,0,"1,819","1,819",,340
2019 - 2020,School Nutrition Programs,"5,765",St. Leo the Great Catholic School,12/01/2019,7. Milk,1,0,15,0,0,"1,425","1,425",,341
2019 - 2020,School Nutrition Programs,"5,765",St. Leo the Great Catholic School,01/01/2020,7. Milk,1,0,19,0,0,"1,882","1,882",,350
2019 - 2020,School Nutrition Programs,"5,765",St. Leo the Great Catholic School,02/01/2020,7. Milk,1,0,19,0,0,"1,915","1,915",,344
2019 - 2020,School Nutrition Programs,"5,765",St. Leo the Great Catholic School,03/01/2020,7. Milk,1,0,9,0,0,350,350,,344
2019 - 2020,School Nutrition Programs,"5,766",Sacred Heart Academy,09/01/2019,7. Milk,1,0,30,0,0,"1,779","1,779",,235
2019 - 2020,School Nutrition Programs,"5,766",Sacred Heart Academy,10/01/2019,7. Milk,1,0,21,0,0,"1,591","1,591",,240
2019 - 2020,School Nutrition Programs,"5,766",Sacred Heart Academy,11/01/2019,7. Milk,1,0,18,0,0,"1,117","1,117",,246
2019 - 2020,School Nutrition Programs,"5,766",Sacred Heart Academy,12/01/2019,7. Milk,1,0,13,0,0,"1,038","1,038",,245
2019 - 2020,School Nutrition Programs,"5,766",Sacred Heart Academy,01/01/2020,7. Milk,1,0,18,0,0,"1,686","1,686",,244
2019 - 2020,School Nutrition Programs,"5,766",Sacred Heart Academy,02/01/2020,7. Milk,1,0,19,0,0,"1,398","1,398",,237
2019 - 2020,School Nutrition Programs,"5,766",Sacred Heart Academy,03/01/2020,7. Milk,1,0,9,0,0,654,654,,247
2019 - 2020,School Nutrition Programs,"5,769",St. Thomas Aquinas Regional School,09/01/2019,7. Milk,1,0,19,0,0,"4,170","4,170",,485
2019 - 2020,School Nutrition Programs,"5,769",St. Thomas Aquinas Regional School,10/01/2019,7. Milk,1,0,21,0,0,"4,095","4,095",,480
2019 - 2020,School Nutrition Programs,"5,769",St. Thomas Aquinas Regional School,11/01/2019,7. Milk,1,0,17,0,0,"3,282","3,282",,485
2019 - 2020,School Nutrition Programs,"5,769",St. Thomas Aquinas Regional School,12/01/2019,7. Milk,1,0,14,0,0,"2,744","2,744",,470
2019 - 2020,School Nutrition Programs,"5,769",St. Thomas Aquinas Regional School,01/01/2020,7. Milk,1,0,19,0,0,"3,528","3,528",,475
2019 - 2020,School Nutrition Programs,"5,769",St. Thomas Aquinas Regional School,02/01/2020,7. Milk,1,0,19,0,0,"3,050","3,050",,470
2019 - 2020,School Nutrition Programs,"5,769",St. Thomas Aquinas Regional School,03/01/2020,7. Milk,1,0,9,0,0,"1,764","1,764",,465
2019 - 2020,School Nutrition Programs,"5,772",St. James Catholic School,09/01/2019,7. Milk,1,0,20,0,0,"5,003","5,003",,254
2019 - 2020,School Nutrition Programs,"5,772",St. James Catholic School,10/01/2019,7. Milk,1,0,23,0,0,"5,700","5,700",,255
2019 - 2020,School Nutrition Programs,"5,772",St. James Catholic School,11/01/2019,7. Milk,1,0,21,0,0,"5,080","5,080",,255
2019 - 2020,School Nutrition Programs,"5,772",St. James Catholic School,12/01/2019,7. Milk,1,0,14,0,0,"3,442","3,442",,253
2019 - 2020,School Nutrition Programs,"5,772",St. James Catholic School,01/01/2020,7. Milk,1,0,18,0,0,"4,111","4,111",,253
